Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0030,Otu0465,0.268156,0.016572,0.229002526,0.268156,1
Otu0030,Otu0501,0.353117,0.0015,0.072986667,0.353117,1
Otu0030,Otu0705,0.250004,0.03234,0.2887144,0.250004,1
Otu0030,Otu0776,-0.290067,0.019824,0.239504201,0.290067,1
Otu0030,Otu0796,-0.366678,0.005376,0.140450637,0.366678,1
Otu0030,Otu0801,-0.360546,0.00504,0.135906207,0.360546,1
Otu0030,Otu0805,-0.254,0.041294,0.315815922,0.254,1
Otu0030,Otu1404,-0.256359,0.026268,0.267261195,0.256359,1
Otu0030,Otu1501,0.399596,0.000612,0.04838625,0.399596,1
Otu0030,Otu1840,0.243819,0.032976,0.2887144,0.243819,1
Otu0030,Otu1903,-0.228931,0.040116,0.31473936,0.228931,1
Otu0030,Otu1957,-0.232749,0.031164,0.2880336,0.232749,1
Otu0291,Otu0314,0.338634,0.014496,0.207363512,0.338634,1
Otu0291,Otu0664,-0.345437,0.00354,0.112227568,0.345437,1
Otu0291,Otu0745,-0.355862,0.004008,0.121516861,0.355862,1
Otu0291,Otu0776,0.38357,0.004788,0.1321488,0.38357,1
Otu0291,Otu0809,-0.2843,0.023112,0.254551963,0.2843,1
Otu0291,Otu0915,0.332081,0.0174,0.231821497,0.332081,1
Otu0291,Otu1501,0.362151,0.003444,0.112227568,0.362151,1
Otu0291,Otu1891,-0.449631,0.000936,0.054963429,0.449631,2
Otu0291,Otu1900,-0.366433,0.00156,0.072986667,0.366433,1
Otu0291,Otu1903,-0.306828,0.007464,0.157752649,0.306828,1
Otu0291,Otu1917,-0.26922,0.009396,0.168267298,0.26922,1
Otu0291,Otu1947,-0.260375,0.017532,0.231821497,0.260375,1
Otu0302,Otu0309,0.457232,0.002436,0.089294625,0.457232,2
Otu0302,Otu0599,-0.204061,0.046308,0.327624,0.204061,1
Otu0302,Otu0616,-0.228353,0.046104,0.327624,0.228353,1
Otu0302,Otu0669,-0.278737,0.02322,0.254551963,0.278737,1
Otu0302,Otu0728,-0.248825,0.048108,0.327624,0.248825,1
Otu0302,Otu0796,-0.4055,0.002148,0.081277548,0.4055,2
Otu0302,Otu0797,-0.329153,0.012888,0.198916105,0.329153,1
Otu0302,Otu0798,-0.291054,0.026004,0.267261195,0.291054,1
Otu0302,Otu0805,-0.370075,0.004896,0.133558326,0.370075,1
Otu0302,Otu0915,0.289514,0.031176,0.2880336,0.289514,1
Otu0302,Otu0967,-0.187001,0.045014,0.327539368,0.187001,0
Otu0302,Otu1887,0.42043,0.002076,0.0811716,0.42043,2
Otu0302,Otu1932,-0.209723,0.04602,0.327624,0.209723,1
Otu0309,Otu0599,-0.256108,0.014364,0.206735853,0.256108,1
Otu0309,Otu0669,-0.285528,0.021516,0.247434,0.285528,1
Otu0309,Otu0918,0.320272,0.017484,0.231821497,0.320272,1
Otu0309,Otu1109,0.287483,0.016128,0.225216,0.287483,1
Otu0309,Otu1717,-0.214737,0.042444,0.318099669,0.214737,1
Otu0309,Otu1887,0.314245,0.017592,0.231821497,0.314245,1
Otu0309,Otu1937,-0.207453,0.046968,0.327624,0.207453,1
Otu0309,Otu1985,-0.281793,0.009108,0.168267298,0.281793,1
Otu0314,Otu0501,0.310438,0.008292,0.165810508,0.310438,1
Otu0314,Otu0528,0.352307,0.008412,0.165836571,0.352307,1
Otu0314,Otu0664,-0.372632,0.001596,0.072986667,0.372632,1
Otu0314,Otu0691,-0.282926,0.020208,0.239504201,0.282926,1
Otu0314,Otu0795,-0.423102,0.000924,0.054963429,0.423102,2
Otu0314,Otu0796,-0.424051,0.000912,0.054963429,0.424051,2
Otu0314,Otu0797,-0.421553,0.000732,0.050508,0.421553,2
Otu0314,Otu0798,-0.377001,0.00312,0.108882,0.377001,1
Otu0314,Otu0805,-0.394003,0.001944,0.077298712,0.394003,1
Otu0314,Otu0817,-0.246285,0.04692,0.327624,0.246285,1
Otu0314,Otu0918,-0.286564,0.02616,0.267261195,0.286564,1
Otu0314,Otu0968,0.275016,0.027048,0.270019609,0.275016,1
Otu0314,Otu1411,0.254423,0.035748,0.298451274,0.254423,1
Otu0314,Otu1887,0.613391,0,0,0.613391,3
Otu0314,Otu1900,-0.245482,0.029688,0.284967184,0.245482,1
Otu0314,Otu1957,0.315636,0.013392,0.20387786,0.315636,1
Otu0348,Otu0776,-0.220583,0.031644,0.288630744,0.220583,1
Otu0348,Otu1858,-0.149863,0.046812,0.327624,0.149863,0
Otu0465,Otu0501,0.216796,0.027696,0.274155342,0.216796,1
Otu0465,Otu0669,-0.164318,0.049356,0.328361143,0.164318,0
Otu0465,Otu1501,0.242304,0.018948,0.236446851,0.242304,1
Otu0465,Otu1717,-0.150455,0.04614,0.327624,0.150455,0
Otu0465,Otu1985,-0.214225,0.010644,0.175850873,0.214225,1
Otu0501,Otu0552,-0.175789,0.020246,0.239504201,0.175789,0
Otu0501,Otu0599,0.209296,0.037368,0.30498,0.209296,1
Otu0501,Otu0664,-0.22684,0.009086,0.168267298,0.22684,1
Otu0501,Otu0669,-0.221487,0.012816,0.198916105,0.221487,1
Otu0501,Otu0711,0.266347,0.009588,0.169335338,0.266347,1
Otu0501,Otu0772,-0.180402,0.043956,0.325302132,0.180402,0
Otu0501,Otu0790,-0.171053,0.040248,0.31473936,0.171053,0
Otu0501,Otu0792,-0.299456,0.001476,0.072986667,0.299456,1
Otu0501,Otu0795,-0.347768,0.000312,0.028152,0.347768,1
Otu0501,Otu0796,-0.323593,0.00066,0.04838625,0.323593,1
Otu0501,Otu0797,-0.289778,0.00168,0.072986667,0.289778,1
Otu0501,Otu0798,-0.266508,0.004176,0.1224612,0.266508,1
Otu0501,Otu0801,-0.396283,0,0,0.396283,1
Otu0501,Otu0804,-0.173767,0.041124,0.315815922,0.173767,0
Otu0501,Otu0805,-0.348076,0.00024,0.02346,0.348076,1
Otu0501,Otu0886,0.231278,0.020184,0.239504201,0.231278,1
Otu0501,Otu0915,-0.215748,0.019272,0.237958484,0.215748,1
Otu0501,Otu0918,-0.242707,0.009936,0.171396,0.242707,1
Otu0501,Otu1149,0.315321,0.00078,0.051612,0.315321,1
Otu0501,Otu1501,0.23751,0.019632,0.239504201,0.23751,1
Otu0501,Otu1900,-0.15795,0.044304,0.326263147,0.15795,0
Otu0501,Otu1903,-0.187,0.022896,0.254551963,0.187,0
Otu0501,Otu1935,-0.154684,0.044364,0.326263147,0.154684,0
Otu0528,Otu0745,0.333237,0.009324,0.168267298,0.333237,1
Otu0528,Otu0798,-0.231017,0.034632,0.292417548,0.231017,1
Otu0528,Otu0805,-0.225713,0.039468,0.311757333,0.225713,1
Otu0528,Otu0968,-0.186032,0.039924,0.31430102,0.186032,0
Otu0528,Otu1887,0.357032,0.006444,0.149679446,0.357032,1
Otu0528,Otu1985,0.22264,0.048852,0.328361143,0.22264,1
Otu0552,Otu0801,0.290595,0.020316,0.239504201,0.290595,1
Otu0552,Otu1703,-0.203205,0.018828,0.236446851,0.203205,1
Otu0599,Otu0664,0.256601,0.024816,0.262244757,0.256601,1
Otu0599,Otu1797,0.254901,0.021504,0.247434,0.254901,1
Otu0599,Otu1907,0.213644,0.03803,0.30498,0.213644,1
Otu0616,Otu0664,0.255606,0.035688,0.298451274,0.255606,1
Otu0616,Otu0669,0.300994,0.018516,0.236079,0.300994,1
Otu0616,Otu0711,-0.183366,0.047508,0.327624,0.183366,0
Otu0616,Otu0795,0.476077,0.000492,0.041222571,0.476077,2
Otu0616,Otu0796,0.3568,0.0078,0.1593648,0.3568,1
Otu0616,Otu0797,0.360162,0.006432,0.149679446,0.360162,1
Otu0616,Otu0798,0.252864,0.047328,0.327624,0.252864,1
Otu0616,Otu0801,0.274781,0.030156,0.286420955,0.274781,1
Otu0616,Otu0805,0.343053,0.010224,0.172129371,0.343053,1
Otu0616,Otu0968,-0.278992,0.004464,0.12908722,0.278992,1
Otu0616,Otu1501,-0.181122,0.037284,0.30498,0.181122,0
Otu0616,Otu1797,0.251177,0.033132,0.2887144,0.251177,1
Otu0664,Otu0711,-0.201053,0.033984,0.29203833,0.201053,1
Otu0664,Otu0795,0.355184,0.007332,0.157139345,0.355184,1
Otu0664,Otu0796,0.368502,0.006036,0.146274309,0.368502,1
Otu0664,Otu0805,0.320128,0.0141,0.205457143,0.320128,1
Otu0664,Otu0809,0.314029,0.014268,0.206621778,0.314029,1
Otu0664,Otu0886,-0.179403,0.039288,0.311383946,0.179403,0
Otu0664,Otu0968,-0.307987,0.001668,0.072986667,0.307987,1
Otu0664,Otu1404,0.305587,0.01212,0.191206872,0.305587,1
Otu0664,Otu1858,-0.256932,0.005352,0.140450637,0.256932,1
Otu0664,Otu1900,0.335231,0.0063,0.149290909,0.335231,1
Otu0664,Otu1903,0.276275,0.02046,0.2399958,0.276275,1
Otu0664,Otu1917,0.272646,0.017604,0.231821497,0.272646,1
Otu0664,Otu1947,0.228463,0.045408,0.327624,0.228463,1
Otu0669,Otu0792,0.264217,0.04098,0.315815922,0.264217,1
Otu0669,Otu0795,0.31529,0.018852,0.236446851,0.31529,1
Otu0669,Otu0796,0.287735,0.029976,0.285868683,0.287735,1
Otu0669,Otu0797,0.283475,0.032126,0.2887144,0.283475,1
Otu0669,Otu0801,0.424829,0.00192,0.077298712,0.424829,2
Otu0669,Otu0805,0.443426,0.001644,0.072986667,0.443426,2
Otu0669,Otu1149,-0.17824,0.039084,0.310817166,0.17824,0
Otu0669,Otu1411,-0.232027,0.019176,0.237958484,0.232027,1
Otu0669,Otu1897,-0.1797,0.034476,0.292417548,0.1797,0
Otu0669,Otu1900,0.232168,0.049764,0.328361143,0.232168,1
Otu0691,Otu0790,0.256822,0.049224,0.328361143,0.256822,1
Otu0691,Otu0795,0.382894,0.006648,0.152711321,0.382894,1
Otu0691,Otu0796,0.308114,0.023976,0.260406,0.308114,1
Otu0691,Otu0797,0.390464,0.006048,0.146274309,0.390464,1
Otu0691,Otu0798,0.295827,0.029148,0.2849217,0.295827,1
Otu0691,Otu0801,0.28319,0.031452,0.288228094,0.28319,1
Otu0691,Otu0805,0.257881,0.046584,0.327624,0.257881,1
Otu0691,Otu0918,0.357715,0.006828,0.152711321,0.357715,1
Otu0691,Otu0945,-0.333034,0.000972,0.054963429,0.333034,1
Otu0691,Otu0967,-0.216441,0.02022,0.239504201,0.216441,1
Otu0691,Otu0968,-0.238496,0.015636,0.220976241,0.238496,1
Otu0691,Otu1404,0.247704,0.042576,0.318099669,0.247704,1
Otu0691,Otu1501,-0.181304,0.04211,0.31772836,0.181304,0
Otu0691,Otu1887,-0.257766,0.02448,0.261648,0.257766,1
Otu0705,Otu0790,-0.231554,0.026844,0.269368923,0.231554,1
Otu0705,Otu1149,0.239107,0.017448,0.231821497,0.239107,1
Otu0705,Otu1947,-0.203962,0.02352,0.256641488,0.203962,1
Otu0705,Otu1957,-0.166553,0.049836,0.328361143,0.166553,0
Otu0711,Otu0716,-0.277883,0.004056,0.121516861,0.277883,1
Otu0711,Otu0745,0.311691,0.008592,0.166373705,0.311691,1
Otu0711,Otu0792,-0.284585,0.0069,0.152711321,0.284585,1
Otu0711,Otu0795,-0.265698,0.012144,0.191206872,0.265698,1
Otu0711,Otu0796,-0.26835,0.0099,0.171396,0.26835,1
Otu0711,Otu0797,-0.268783,0.0096,0.169335338,0.268783,1
Otu0711,Otu0804,-0.275663,0.008652,0.166373705,0.275663,1
Otu0711,Otu0805,-0.352663,0.00066,0.04838625,0.352663,1
Otu0711,Otu0817,0.30095,0.01355,0.20387786,0.30095,1
Otu0711,Otu0886,0.331042,0.001728,0.073707055,0.331042,1
Otu0711,Otu1149,0.209504,0.033408,0.289207262,0.209504,1
Otu0711,Otu1411,-0.169069,0.041328,0.315815922,0.169069,0
Otu0711,Otu1797,-0.197084,0.02184,0.249934829,0.197084,0
Otu0711,Otu1897,0.205413,0.034428,0.292417548,0.205413,1
Otu0716,Otu1411,0.274981,0.017604,0.231821497,0.274981,1
Otu0716,Otu1840,-0.193022,0.02454,0.261648,0.193022,0
Otu0728,Otu0797,0.359498,0.011856,0.189595102,0.359498,1
Otu0728,Otu0798,0.460941,0.001812,0.075909857,0.460941,2
Otu0728,Otu0800,-0.203723,0.04782,0.327624,0.203723,1
Otu0728,Otu0817,0.542846,0.000168,0.018768,0.542846,2
Otu0728,Otu0945,0.340436,0.010452,0.173903489,0.340436,1
Otu0728,Otu1109,-0.222645,0.029748,0.284967184,0.222645,1
Otu0728,Otu1149,-0.237039,0.013932,0.205457143,0.237039,1
Otu0728,Otu1858,0.22916,0.041568,0.315867262,0.22916,1
Otu0728,Otu1887,-0.404564,0.00114,0.059432,0.404564,2
Otu0728,Otu1937,-0.201567,0.049812,0.328361143,0.201567,1
Otu0745,Otu0792,-0.273118,0.020304,0.239504201,0.273118,1
Otu0745,Otu0886,0.24639,0.027396,0.272334814,0.24639,1
Otu0745,Otu0915,-0.285596,0.018456,0.236079,0.285596,1
Otu0745,Otu0918,-0.233109,0.04602,0.327624,0.233109,1
Otu0745,Otu0967,0.239261,0.032376,0.2887144,0.239261,1
Otu0745,Otu1661,0.302402,0.010272,0.172129371,0.302402,1
Otu0745,Otu1797,-0.182066,0.049968,0.328361143,0.182066,0
Otu0745,Otu1891,0.410979,0.00264,0.095283692,0.410979,2
Otu0745,Otu1897,0.20946,0.04212,0.31772836,0.20946,1
Otu0772,Otu0776,0.587901,1.20E-05,0.0017595,0.587901,2
Otu0772,Otu0781,0.62041,0,0,0.62041,3
